ID,Fecha Liturgica / Mortalidad,Nombre del Santo,Fecha de Nacimiento,Fecha de Mortalidad,Pais de Origen,Ciudad o Region,Realidad a la que pertenecio,Historia y Biografia,Detalles Curiosos o Significativos,Hijos en la fe
"1","28/Enero","Santo Tomás de Aquino","1225","07/03/1274","Italia","Roccasecca / Aquino","Sacerdote Dominico, Teólogo y Doctor de la Iglesia","Conocido como el Doctor Angélico. Ingresó a los Dominicos desafiando la oposición familiar. Autor de la 'Summa Theologiae', armonizó la filosofía aristotélica con la revelación cristiana.","Compuso los himnos 'Pange Lingua' y 'Tantum Ergo' para el Corpus Christi.","Estudiantes y teólogos católicos"
"2","31/Enero","San Juan Bosco","16/08/1815","31/01/1888","Italia","Turín (Becchi)","Sacerdote y Fundador (Salesianos de Don Bosco)","Dedicó su existencia a la juventud desamparada y trabajadora de Turín. Fundó los Salesianos y las Hijas de María Auxiliadora bajo el Sistema Preventivo: razón, religión y amor.","Hacía malabares y acrobacias de joven para congregar a los niños para el catecismo.","San Domingo Savio, Familia Salesiana"
"3","2/Febrero","La Presentación del Señor","—","—","Tierra Santa","Jerusalén","Fiesta del Señor / Jornada de la Vida Consagrada","Presentación del Niño Jesús en el Templo de Jerusalén a los 40 días de su nacimiento, donde el anciano Simeón lo proclama 'Luz para iluminar a las naciones'.","Fiesta de la Candelaria. Se bendicen las candelas que simbolizan a Cristo Luz del mundo.","—"
"4","3/Febrero","San Blas","Siglo III","03/02/316","Turquía / Armenia histórica","Sebaste","Obispo y Mártir","Médico y obispo que vivió en una caverna del monte Argeo. Salvó milagrosamente a un niño que se ahogaba con una espina y padeció el martirio en tiempos de Licinio.","Patrono contra las afecciones de garganta. Bendición con dos cirios cruzados.","—"
"5","3/Febrero","San Óscar","08/09/801","03/02/865","Francia / Alemania","Amiens / Hamburgo / Bremen","Obispo Benedictino Misionero","Monje en Corbie, nombrado arzobispo de Hamburgo y legado papal para Dinamarca y Suecia. Fue el gran evangelizador paciente y caritativo del norte de Europa.","Apodado el 'Apóstol del Norte'. Famoso por redimir cautivos cristianos de manos vikingas.","Pueblos escandinavos"
"6","5/Febrero","Santa Águeda","235 d.C.","05/02/251","Italia","Catania (Sicilia)","Virgen y Mártir","Joven noble que rechazó al prefecto Quinciano para guardar su virginidad por Cristo. Fue mutilada y martirizada con ejemplar entereza en la persecución de Decio.","Patrona contra las enfermedades mamarias y las erupciones volcánicas del Etna.","—"
"7","6/Febrero","Santos Pablo Miki y compañeros","1564","05/02/1597","Japón","Kioto / Nagasaki","Mártires de Japón (Jesuitas, Franciscanos y Laicos)","Veintiséis mártires, incluidos religiosos y monaguillos japoneses, que fueron crucificados y alanceados en la colina de Nagasaki cantando alabanzas al Señor.","Pablo Miki proclamó el perdón a sus ejecutores desde la cruz.","Iglesia de Japón"
"8","10/Febrero","Santa Escolástica","480 d.C.","10/02/547","Italia","Nursia / Montecasino","Virgen Consagrada y Monja Benedictina","Hermana gemela de San Benito. Se consagró a Dios desde niña y presidió un cenobio cerca de Montecasino. Obtuvo de Dios una tormenta para pasar su última noche orando con su hermano.","Benito contempló el alma de Escolástica elevarse al cielo en figura de paloma.","Monjas Benedictinas"
"9","11/Febrero","Nuestra Señora de Lourdes","—","—","Francia","Lourdes","Aparición Mariana / Jornada Mundial del Enfermo","En 1858, la Virgen María se manifestó a Santa Bernadette Soubirous en la gruta de Massabielle revelándose como la 'Inmaculada Concepción'.","Manantial milagroso visitado por millones de enfermos y peregrinos.","Santa Bernadette Soubirous"
"10","14/Febrero","Santos Cirilo","827 / 815 d.C.","14/02/869 / 06/04/885","Grecia","Salónica / Gran Moravia","Obispos, Monjes y Misioneros","Hermanos griegos que cristianizaron los pueblos eslavos. Crearon la escritura cirílica y tradujeron los sagrados cánones y la Sagrada Escritura al antiguo eslavo.","Co-patronos de Europa proclamados por San Juan Pablo II.","Naciones eslavas"
